primary_question,answer
应用程序报错：0x0000000077BFAE24指令引用0x000000007FFFFFFF内存。,"应用程序报错：0x0000000077BFAE24指令引用0x000000007FFFFFFF内存。该内存不能为read。要终止程序。
原因：电脑运行内存不足
解决方案：关机重启、或者找IT清理电脑、打印时不要同时打开太多Word、Excel等文件。"
打印的时候提示“页面脚本错误”,"页面脚本错误（错误代码：0x80010105）
原因：Office没有激活
解决方式：激活Office"
应用程序报错：Office运行时错误，部分系统文件可能丢失或已损坏。（错误代码：0x80040154）,"Office运行时错误，部分系统文件可能丢失或已损坏。（错误代码：0x80040154）
原因：
（1）其他Excel文件的单元格在输入状态；
（2）上个PageOffice文件编辑单元格后关闭，Excel死进程。
解决方案：
（1）关闭其他Excel文件正在编辑的单元格；
（2）关闭本地和在线的eExcel，打开任务管理器详细信息Word.exe 结束这个死进程，重新再打开PageOffice。"
应用程序报错：office运行时错误，部分系统文件可能丢失或已损坏。（错误代码：0x80010105）,"1、原因：（1）office未激活；（2）office死进程造成的；（3）个别文件已经损坏造成的；（4）office软件有问题了。
2、解决方案：
（1）激活office
（2）关闭所有的浏览器，关闭所有的office文件，打开资源管理器，点击详细信息，查看有没office死进程(WINWORD.EXE,EXCEL.EXE)，有的话结束了，打开页面重试。
（3）换个文件打开试试，看是不是个别文件的问题。
（4）如果换了文件还是一样，那就是客户端本身的office有问题了，需要重装office。"
打印的时候，客户端闪退,"安装PageOffice之后，打印Excel模板，客户端闪退。
原因：PageOffice死进程
解决方案：关机重启、卸载重新安装PageOffice客户端软件。"
套打支持的环境,"1、需确保电脑安装的Office办公软件是2016专业增强版及其以上版本，并激活；
2、目前仅支持谷歌浏览器，或者Internet Explorer11以上版本的浏览器，或者Edge浏览器；
3、PageOffice客户端版本需是5.3.0.1及以上版本，若是较低版本，软件会提示升级，请安装最新版本升级。"
应用程序报错：提示下载getDynamicTab.json,"1、原因：浏览器内同时登录了多个账号，导致token丢失
2、解决方案：只使用一个账号登录浏览器，打印。"
应用程序报错：本地Excel的单元格可能处于光标输入状态，请先点击其他单元格退出当前单元格编辑，再重新打开文档。,"1、原因：（1）其他excel文件的单元格在输入状态（2）上个pageoffice文件编辑单元格后关闭，excel死进程
2、解决方案：
（1）关闭其他excel文件正在编辑的单元格
（2）关闭本地和在线的excel，打开任务管理器-详细信息-WINWORD.EXE 结束这个死进程，重新再打开pageoffice"
如何导入套打模板合同填列单协议,您可在【项目准备】-【套打设置】里操作。
全款分期模板字段,"参考字段如下：
[##?一期款信息##]①第[##分期序号大写##]期付款：乙方应于[##付款日期##]或之前向甲方支付该商品房第[##分期序号大写##]期房价款人民币[##金额##]元，大写 [##金额大写##]（乙方已付定金人民币[##定金##]元全部转为本期房价款）。[##/一期款信息##]
[##?二期款信息##]②第[##分期序号大写##]期付款：乙方应于[##付款日期##]或之前向甲方支付该商品房第[##分期序号大写##]期房价款人民币[##金额##]元，大写[##金额大写##]；[##/二期款信息##]
[##?三期款信息##]③第[##分期序号大写##]期付款：乙方应于[##付款日期##]或之前向甲方支付该商品房第[##分期序号大写##]期房价款人民币[##金额##]元，大写[##金额大写##]；[##/三期款信息##]
[##?四期款信息##]④第[##分期序号大写##]期付款：乙方应于[##付款日期##]或之前向甲方支付该商品房第[##分期序号大写##]期房价款人民币[##金额##]元，大写[##金额大写##]；[##/四期款信息##]"
如果设置一机多入账银行,操作路径：在【参数设置】-【公司级】，先开启本项目的一机多入账银行设置，然后在【项目级】-【一机多入账银行】，根据不同楼栋和款项配置对应的入账银行。
滞纳金比率设置路径,联系项目财务经理或者项目营销经理设置&nbsp;设置路径：【项目准备】-【参数设置】-【项目级】-【滞纳金比率设置】
代收税费未引入到供款明细,"代收税费未引入到供款明细解决方案如下：
 
（1）先确认代收费用的款项是否存在于付款方式里，若不存在，您在付款方式里添加即可；
（2）在【项目准备】-【参数设置】-【项目级】- 【代收费用】里是否有设置代收费用公式，若没有，您添加费用计算公式即可；
（3）【售后服务】-【代收费用】批量调整传入应收；
（4）以上两项都设置好了，然后再重新生成供款明细，点击【生成付款详情】按钮重新生成即可。"
代收费用金额有误，需修改金额,"解决方案：在代收费用界面批量调整中可以重新调整金额。
 
具体操作路径：您在【售后服务】-【代收费用】-【批量调整】-【新增/编辑批量调整】，进入表单页面，代收费用列表可修改金额，修改后勾选【保存】-【传递】即可。"
请款选择费用规则,"请款选择费用具体规则如下：
（1）代收费用已收齐；
（2）代收费用无进行中的退款申请；
（3）所属合同无进行中的变更；
（4）代收费用款项无请款记录。"
需要按照条件设置下维修基金费用,操作路径：【项目准备】-【参数设置】-【项目级】-【代收费用】-设置自定义公式
CRM-代收费用界面，请款流程未冲账，无法重新执行,当天可取消执行，非当天无法取消执行。
维护函件类型选项,您可以在【项目准备】-【参数设置】-【公司级】- 【函件类型】中操作新增。
房间放盘操作条件,"房间操作放盘规则如下：
（1）未定价或者价格已失效不可放盘
（2）需要重新调价的房间不可放盘
（3）未取得《商品房预售许可证》不可放盘
（4）撤销供货后不可放盘
（5）转智慧服务C4代管后不可放盘"
价格过期不能放盘,需要重新调价之后再进行放盘。
营销系统住宅折扣不能超过7个,集团规定住宅折扣数量不能超过7个，如果需要超出，需要走审批：营销其它事项审批-突破折扣申请。
价格审批已执行后能作废吗,已经执行的价格不能作废，如果价格错误需要重新调价。
定价发起审批提示高于备案价,"价格方案与备案价没有强控校验，审批表单里有高于备案价的列表数据。
如确实高于备案价，需核实是否合理，避免限价时，后续高于备案价无法成交。"
定价导出面积与房间标签面积不一致,面积不一致时，价格方案发起审批会触发系统强控校验，需重新做价格方案/删除房间保存后重选房间，保证价格方案上房间的面积与真实的面积一致。
定调价中”底价“”表价“间反算公式,"表价反算底价
①业态计价方式为按建筑面积/按套底总价计算逻辑：
底总价=(表总价-[第n个总价优惠折扣]×[该折扣预计享受率]-[第n+m个总价优惠折扣]×[该折扣预计享受率]-建筑面积×[第n个单价优惠折扣]×[该折扣预计享受率]-建筑面积×[第n+m个单价优惠折扣]×[该折扣预计享受率])×[1-(1-[第n个打折折扣])×[该折扣预计享受率]]×[1-(1-[第n+m个打折折扣])×[该折扣预计享受率]]×(1-[第n个减点折扣]×[该折扣预计享受率]-[第n+m个减点折扣]*[该折扣预计享受率]) 
②业态计价方式为按套内面积底总价计算逻辑：
底总价=(表总价-[第n个总价优惠折扣]×[该折扣预计享受率]-[第n+m个总价优惠折扣]×[该折扣预计享受率]-套内面积×[第n个单价优惠折扣]×[该折扣预计享受率]-套内面积×[第n+m个单价优惠折扣]×[该折扣预计享受率])×[1-(1-[第n个打折折扣])×[该折扣预计享受率]]×[1-(1-[第n+m个打折折扣])×[该折扣预计享受率]]×(1-[第n个减点折扣]×[该折扣预计享受率]-[第n+m个减点折扣]*[该折扣预计享受率])
 
底价反算表价
①业态计价方式为按建筑面积/按套表总价计算逻辑：
表总价=底总价/{[1-(1-[第n个打折折扣])×[该折扣预计享受率]]×[1-(1-[第n+m个打折折扣])×[该折扣预计享受率]]×(1-[第n个减点折扣]×[该折扣预计享受率]-[第n+m个减点折扣]×[该折扣预计享受率])}+[第n个总价优惠折扣]×[该折扣预计享受率]+[第n+m个总价优惠折扣]×[该折扣预计享受率]+建筑面积×[第n个单价优惠折扣]×[该折扣预计享受率]+建筑面积×[第n+m个单价优惠折扣]×[该折扣预计享受率] 
②业态计价方式为按套内面积表总价计算逻辑：
表总价=底总价/{[1-(1-[第n个打折折扣])×[该折扣预计享受率]]×[1-(1-[第n+m个打折折扣])×[该折扣预计享受率]]×(1-[第n个减点折扣]×[该折扣预计享受率]-[第n+m个减点折扣]×[该折扣预计享受率])}+[第n个总价优惠折扣]×[该折扣预计享受率]+[第n+m个总价优惠折扣]×[该折扣预计享受率]+套内面积×[第n个单价优惠折扣]×[该折扣预计享受率]+套内面积×[第n+m个单价优惠折扣]×[该折扣预计享受率]"
分期逾期率超阈值判断方法,"地区公司（含事业部）的整体分期逾期率（剔除工抵合同）超过了【项目准备】-【参数设置】-【集团级】-地区分级审批设置里的分期逾期率阈值，则该地区公司不允许申请新的分期类（分期付款、首付分期按揭付款）付款方式。
分期逾期率＝分期付款非贷类欠款逾期金额分期付款非贷类欠款总金额（不含补差款和工抵合同）"
定价操作时无法选择楼栋,"系统默认显示【可参与定/调价的楼栋】。
楼栋满足如下条件时默认显示：
若当前为【定价方案】：当前楼栋下存在房间已维护面积并且未定过价；
若当前为【调价方案】：当前楼栋下存在房间定过价+未成交（无激活认购或有激活一房一议认购），则当前楼栋会默认显示。
注:剔除移交塘鹅的房间。"
营销其它事项审批-突破折扣申请中车位总价优惠点数计算方式,"1、如需突破集团管控值需提交营销其它事项审批-突破折扣申请，审批通过后会按申请的数额进行校验。
2、计算方式：
总价优惠点数=总价优惠表总价套均价 如计算数值为6.7%，事项审批填写7%。
折扣总幅度=调价页面上显示的折扣总幅度，如显示为71%事项审批填写70%。"
价格管理-调价管理-测算货值页面显示找不到服务器IP地址,需要内网访问，不是内网需要连接VPN
定金、折扣幅度、总价优惠、折扣数量的标准是什么,"【定金】非车位的定金标准不能低于20000.00元，车位的定金标准不能低于10000.00元。
【折扣幅度】住宅折扣总幅度不可以低于9折，非住宅折扣总幅度不可以低于8.5折。
系统计算折扣总幅度时，是忽略预计享受率的，即默认房源能使用所有折扣情况下，折扣的总幅度值是多少（其中单价优惠、总价优惠会按照房源的套均总价折算成比例）。
【总价优惠】非车位总价优惠不能超过定调价房间套均总价1%，车位总价优惠不能超过定调价房间套均总价5%。
【折扣数量】住宅折扣数量不能超过7个，非住宅折扣数量不能超过9个（不含总经理优惠、员工折扣、珑珠总价直减折扣）。
1）促销折扣每个都算做1个；
2）老业主再购折扣类型 和 老带新折扣类型同时存在时，一共算作1个；
3）其他的折扣都是按折扣类型算作1个，例如付款方式折扣类型设置了全款折扣、组合贷款折扣、公积金贷款折扣，系统会按照同属1个分类算作1个。"
全盘货值、未定价货值是怎么测算出来的,"系统会测算每一栋楼的货值，最终汇总到整个分期形成全盘货值。
每一栋楼的测算货值=已成交货值+已定价未成交货值(底总价)+本次定调价货值(底总价)+未定价货值。
楼栋未定价货值=楼栋未定价面积*楼栋最新预算均价。
楼栋未定价面积：
若楼栋所有房间已维护面积(审批过)，则楼栋未定价面积=楼栋所有房间面积-楼栋已成交面积-楼栋已定价未成交面积-楼栋本次定调价面积；
若楼栋存在房间未维护面积(未审批过)或楼栋未生成房间，则楼栋未定价面积=楼栋预算面积-楼栋已成交面积-楼栋已定价未成交面积-楼栋本次定调价面积。
楼栋最新预算均价：取自最新预算里（启动会、启动会变更、启动会前预算、启动会后预算的孰新版）当前楼栋的未定价均价。"
移交塘鹅和未移交房源为什么不能混合调价,移交塘鹅销售的房源，因销售主体不一样，销售策略和折扣体系会各有差异，因此不允许混合定调价。
发起调价提示：检测到楼栋变化，请尽快至供销存进行启动会变更,&nbsp;&nbsp;&nbsp;您好，出现此提示是因为指标系统调整了楼栋，需要联系运营先到供销存创建启动会变更版本，做启动会变更之后操作发起。
项目折扣使用已达上限,已超出预计享受率的范围，需要重新调价。
调价审批中近三个月成交均价的取数逻辑,是以90天来算的，不是以三个月来算的。
货损怎么处理,"需要拉通地区财务+集团数运对接人（如果不知道集团数运对接人是谁，则咨询地区销管负责人），共同商讨货损应该怎么处理。
以下为常见的货损处理方式：
1、找补：可以指定通过哪些业态、楼栋进行找补。
2、直损：货值直接损掉，或者成本释放、税筹调整等非营销口径找补方式均属于直损。
3、找补+直损结合以上解决方案营销与财务拉通好后，根据实际情况选择申请。"
系统总价折扣使用的时候如何实现金额调整,明折明扣不允许调整。
价格决策无法发起,本次价格申请货损需和价格决策本次使用减损金额之和，需要填的一样。&nbsp;
调价管理页面不能自动生成降幅，页面保存不上,"此故障属于浏览器问题，建议使用谷歌浏览器访问，地址：https://sale-crm.longfor.com/
清除谷歌浏览器缓存-清除浏览器缓存方法"
系统调价，无法关联决策,全盘没有货损的话不需要关联价格决策。
调价流程无法执行,联系【C1-项目-营销-项目营销经理】执行
发起定调价提示：非车位类产品优惠率不能高于百分之一,"1、如需突破集团管控值需提交“营销其它事项审批-突破折扣申请”，审批通过后会按申请的数额进行校验。
 
2、计算方式：
总价优惠点数=总价优惠÷表总价套均价  如计算数值为6.7%，事项审批填写7%。
折扣总幅度=调价页面上显示的折扣总幅度，如显示为71%事项审批填写70%。"
CRM系统调整已签约房源的货值为0 ,退房之后通过调价把价格调成0元后把面积改成0.01。
折扣设置中，想要新增两个按时签约折扣,促销折扣可以定义多项折扣，非促销折扣一次只能定义一项
折扣失效如何重新申请,需重新调价设置折扣
无法同步发起多个调价流程,调价流程无法同步发起多个，只能发起一个调价流程，发起的审批执行完才可发起下一个调价流程。
非车位类产品总价优惠不能高于1%,"1、如需突破集团管控值需提交营销其它事项审批-突破折扣申请，审批通过后会按申请的数额进行校验。
2、计算方式：
总价优惠点数=总价优惠表总价套均价 如计算数值为6.7%，事项审批填写7%。
折扣总幅度=调价页面上显示的折扣总幅度，如显示为71%事项审批填写70%。"
房源价格延期超过最大限度,"房源价格有效期默认为1年，超过此期限的3个月内可进行价格延期，但超过3个月后不可进行价格延期，只能重新调价。
因此申请价格延期时需满足：价格失效日期+申请延期天数≤房源原价格生效日期+365日+90日 且 当前日期+申请延期天数≤房源原价格生效日期+365日+90日。"
房源认购延期超最大限度,"认购默认有效期一般为15天，认购日期起的3个月内可进行认购延期，超过3个月后不可进行认购延期，只能退房重新认购。
 
申请认购延期条件：认购失效日期+申请延期天数≤认购日期+90自然日 且 当前日期+申请延期天数≤认购日期+90自然日。"
零星房源延期价格延期超最大限度是什么意思,"房源价格有效期默认为1年，超过此期限的3个月内可进行价格延期，但超过3个月后不可进行价格延期，只能重新调价。
因此申请价格延期时需满足：价格失效日期+申请延期天数=房源原价格生效日期+365日+90日 且 当前日期+申请延期天数=房源原价格生效日期+365日+90日。"
认购延期超最大限度是什么意思,"认购默认有效期一般为15天，认购日期起的3个月内可进行认购延期，但超过3个月后不可进行认购延期，只能退房重新认购。
因此申请认购延期时需满足：认购失效日期+申请延期天数=认购日期+90日 且 当前日期+申请延期天数=认购日期+90日。"
一房一议认购的价格或认购超最大限度是什么意思,"如果是一房一议的认购进行延期，且当前房源的价格失效日期认购日期，则延期时系统会对价格和认购同时延期（如果只延期认购，延期完成后一房一议认
购也无法转为正常认购，因价格失效日期仍小于认购日期），此时会同时触发价格延期+认购延期的校验。
申请价格延期时需满足：价格失效日期+申请延期天数=房源原价格生效日期+365日+90日 且 当前日期+申请延期天数=房源原价格生效日期+365日+90
日；
申请认购延期时需满足：认购失效日期+申请延期天数=认购日期+90日 且 当前日期+申请延期天数=认购日期+90日。"
人员已离职，如何查看离职人员提交的审批流程进行到哪一步,联系流程中的审批人进行查看
已驳回页签信息和待发起页签如何一起发起审批,在待发起点击驳回进入已驳回页签可以一起发起审批
暂收款有余额，但收款机及退款管理可退明细没有可退金额,一笔单据退款只能巡检一次，如果只退了部分，剩下部分退款需要联系财务进行换票后，会重新触发巡检。
退款信息维护时，无法查询到要维护的支行,问题说明：系统中缺少要查询的支行&nbsp;解决方案：&nbsp;(1)查一下要选择支行的上一级分行，若有的话选择上一级银行也可以；&nbsp;(2)如没有请您联系资金系统，查一下这个支行在资金系统是否存在，若不存在的话需要在资金系统添加，资金系统添加4小时后会自动同步给CRM系统，如果着急请联系主数据系统下发，主数据下发后CRM实时同步。
客户退房后无法在退款查到退款数据,问题说明：系统未巡检到客户要退的数据。&nbsp;解决方案：(1)先确定要退款的款项的实收单据的开票日期是否小于2019年6月1日，若是则在CRM--财务管理--收支管理--房款管理--关闭的交易--详情--实收款项--选中--换票，换票后系统可以自动巡检出该退款数据；(2)其次确认该实收是否有退过部分钱，若是则同样在CRM--财务管理--收支管理--房款管理--关闭的交易--详情--实收款项--选中--换票，换票后系统可以自动巡检出该退款数据。(3)若是违约金款项，需要走【营销其它事项审批-释放违约金】审批，审批归档之后会自动生成可退款明细。
"无法发起退款申请,提示项目未上共享",由于新上的项目未上共享，公司级参数&ldquo;禁止自动退款项目&rdquo;的状态为&ldquo;是&rdquo;，所以无法发起退款，手动调整参数的值为&ldquo;否&rdquo;，则可以正常发起退款申请。联系平台收入核算组负责人调整参数。角色：财务共享-平台-收入核算中心-C1收入对接人
代收费用退款,1、您好，代收费用退款条件如下：（1）没有对应的应收款项；（2）对应的应收款项为已划出状态且出现了多收；&nbsp;2、删除代收费用应收款项具体操作如下：【财务管理】-【收支管理】-【房款管理】-右侧房款详情-右上角删除代收费用；&nbsp;3、退款具体操作如下；【财务管理】-【退款管理】-【可退款明细】-【待完善列表】-【编辑】-【保存】后在待发起页面发起退款；
退款需要交单,如果【退款详情】中【人工完善】的字段为是，则需要交单。
面积补差是否可以在收款机上退,可以。
客户换房，原房间的款项如何操作退款,换房的认购定金需要走线下成本退款
退款单据拆分,联系财务将对应退款款项换票即可拆分，需要拆分成几笔就换几张票
收款机上操作的退款，为什么需要交单,在线上提交的退款或者是线上维护了退款信息的就需要交单。
可退款明细是否交单判断逻辑,"image {https://prod-ai-talk.oss-cn-beijing.aliyuncs.com/know/prod/2023/02/08/16758198934597939.png?Expires=4829419893&OSSAccessKeyId=LTAI4FoeSXRLXKE7RJkj4q9Z&Signature=kh%2FY72eePcIkpe65Fait8Pb65To%3D}
"
CRM退款相关问题,"可退款明细里面没有可退款项        1.一笔单据退款只能巡检一次，如果只退了部分，剩下部分退款需要进行换票后，会重新触发巡检。 如何换票       2.激活状态的房间，多收的房款，需要在线下成本发起退款。线下退款指引       3.在财务管理-收支管理-房款管理-激活的交易/关闭的交易-详情-检查实收款项的实收日期如果日期小于2019年6月，需要换票后才会在可退款明细里。如何换票       4.代收费用如何退款代收退款 退款信息维护时，无法查询到要维护的支行 退款无法提交        1.退款流程无法发起，提示当前交易/机会/预约排号存在已发起的退款流程，请等待流程结束后再发起新退款！        2.提示项目未上共享。 无法发起退款申请,提示项目未上共享        3.提示账套不是最新的，或房间进行权益人变更后显示退款信息不是新客户的。无法发起退款申请，提示:账套或客户信息不是最新的 可退款明细是否交单判断逻辑可退款明细是否交单判断逻辑 退款无法打印交单封皮退款无法打印交单封皮 退款支付失败、重付单 1.CRM退款资金支付失败在哪里修改退款单2.如何查看支付状态查看支付状态3.退款流程被驳回后为什么没有重付单"
退款流程被驳回后为什么没有重付单,"只有资金支付失败 或者 退票 的状态才能在CRM产生重复单，
资金驳回是没有重付单的，共享审批结束后CRM系统就已经生成了退款单，
如需继续退款走线下成本退款。"
CRM退款资金支付失败在哪里修改退款单,操作路径：CRM-【财务管理】-【退款管理】-【重付单】进行修改
查看支付状态,查支付状态 可在【云图梭】-【龙小湖】-【财务客服】处咨询，有专门的坐席人员定位单据状态，核实付款信息。
预售证审批表单总货值与备案总价货值存在差异,"房间已定价：取当前页面列表所有房间底总价之和（若按楼栋，则取楼栋下所有房间底总价之和；若按房间，则取列表房间底总价之和）
房间全部未定价：供销存预算货值与CRM备案货值取孰低，其中预算货值=预算单价*面积。"
预售证提示:无备案货值或备案价格不对,"可检查【备案价管理】中对应的房间备案价是多少。
注:预售证的备案货值取自该模块数据。"
预售证维护楼栋缺失,"楼栋可在预售证选择条件如下：
 
1.楼栋【未生成房间】或【已生成房间】但【未全部维护备案价】;
2.楼栋存在【草稿/审批中的预售证】或【撤供申请】;
3.楼栋存在【已取证的房间】（此类楼栋只能按房间取证）。"
新增预售证时房间无法选中,预售证无法选中房间情况如下：&nbsp;1、未维护备案价的房间不可选；&nbsp;2、存在预售证信息的房间不可选；&nbsp;3、面积维护未审批的房间不可选；&nbsp;4、正在维护预售证或撤供申请的房间不可选。&nbsp;5、楼栋和房间不能同时选&nbsp;&nbsp;注意：以上条件满足一条，即无法选中房间。
按楼栋维护预售证，为什么有些楼栋不显示？,"（1）楼栋未生成房间或已生成房间但未全部维护备案价
（2）楼栋存在草稿/审批中的预售证或撤供申请
（3）楼栋存在已取证的房间（此类楼栋只能按房间取证）"
按房间维护预售证，选择楼栋环节为什么有些楼栋不显示？,（1）面积需要审批通过。（1）备案价需要维护，不管毛坯还是精装都需要维护。
预售证选择房间环节，哪些房间不可选？,"（1）未维护备案价的房间不可选
（2）存在预售证信息的房间不可选
（3）正在维护预售证或撤供申请的房间不可选"
按楼栋申请撤供，哪些楼栋会显示？,"（1）已生成房间且房间均为销控状态的楼栋
（2）楼栋不存在房间正在维护预售证或撤供申请"
撤供申请选择房间环节，哪些房间不可选？,"（1）正在维护预售证或撤供申请的房间不可选
（2）已放盘（含已售）的房间不可选"
撤销供货新增时房间无法选中,"撤销供货新增时选择房间条件如下:
1、正在维护预售证或撤供申请的房间不可选；
2、已放盘（含已售）的房间不可选。
 
注:以上条件满足1条，即无法选中房间。"
删除房间的预售证信息的方法,在【项目准备】-【取证管理】-【撤销供货】-新增&nbsp;1、撤销供货主要针对以下几种情况：（1）误操作：预售证维护时操作失误，需要清空已维护的预售证信息（2）政府原因：由于房管部门因素导致需要调整供货情况的（3）规划变更：由于规划变更导致需要调整供货情况的（4）房间转不可售：因各种原因导致房间由可售变为不可售的（5）房间转为自持：因各种原因导致房间由可售变为自持的2、撤供原因为（1）（2）（3）的，撤供申请通过后会清空房间预售证信息；原因为（4）（5）的，会删除申请列表中已选的房间。注：已有交易记录无法删除房间，只能清空预售证信息。
暂收款管理中搜索不到对应的客户交款记录,"问题说明：暂收款收款需记录到分期层级，如收款时的录入分期与当前所选分期不一致会查不到。
解决方案：切换左上角的项目分期，或切换已交款客户、所有客户两个页签即可。"
暂收款无法发送短信、无法发送账单,"问题说明：暂收款需要设置暂收款应收金额、所属项目后才可以发送账单、发送短信。
解决方案：在销售机会管理中，找到该客户信息后进行编辑，在其中补充完整暂收款应收金额和所属项目。"
暂收款无法结转到房间中的首期、楼款中,"问题说明：暂收款被锁定。
解决方案：暂收款被收款机锁定、被退款流程锁定后，都不能再结转。"
暂收款已经产生了实收，但通过自助收款机不能查到此客户的款项信息,该款项被结转，无余额时不能在收款机查询、打印。
客户退暂收款的钱，银行卡号填错,"问题说明：驳回或者重付单。
解决方案：共享未审批通过时可以联系共享平台单据及流程退回，资金未通过可以退票后修改重付单。"
暂收款账单发送后，共享中看不到账单,在销售机会里面重新编辑一下【应收暂收款】。
CRM录入暂收款应收信息后，收款机查不到此款项,"收款机查不到此款项原因如下：
所属项目选择错误，与财务接口中的所属项目不一致。"
房款能否结转到暂收款,不能结转到暂收款，只能退款或者联系财务结转进其他房间。
退款流程到资金了，需中途拦截不做退款，将款项退回到暂收款里,共享审批完实收里面退款单就生成了，需要和平台资金和收入组的同事沟通一下。只能让资金那边支付驳回。系统里联系财务重新做收款单再收进来。
定金退款，目前在违约金状态，需调整至暂收款,【项目准备】-【事项审批】提交【营销其它事项审批-释放违约金】选择&ldquo;交易&rdquo;将交易选进来填写需要退回违约金的&ldquo;减免金额&rdquo;，发起审批，审批通过后无需报事调整，直接去申请退款，或者联系财务转进房款就行了。注：只能转入房款，无法转回暂收款。&nbsp;&nbsp;&nbsp;
暂收款实际收款时间,暂收款实际收款时间：暂收款管理中收款单的时间是收款时间。
诚意金无法收款，提示不能超过应收金额,"问题说明：诚意金不能超过应收金额收款。
解决方案：核对诚意金的已收金额，若已到达或超过应收余额，则不能超过应收余额进行收款。"
诚意金无法转账，提示预约单未关闭,"问题说明：预约单关闭之后，诚意金才可以转出。
解决方案：将对应的预约单进行转交易后者退号之后，然后才可以将其中的诚意金进行转账。"
已关闭的预约单，能把预约金转进客户成交的房款吗,"可以，联系财务在财务管理-收支管理-诚意金管理-关闭的预约单-收款管理-实收款项-转交易
注：预约单必须关闭后才可结转。"
账单共享查不到,【交易管理】-【交易台账】-【详情】-【更多操作】-【生成付款详情】会给共享重新推送账单。
收入侧流水进行入放款的时候提示账单被锁定，无法核销,联系销管在【交易管理】-【交易台账】-详情-【销售变更】检查是否有待处理的销售变更。&nbsp;把待处理的销售变更处理后入账。
房款管理中点击详情时报错:未设置滞纳金比例,问题说明：未设置滞纳金比例不能打开房款详情。解决方案：需要联系项目财务经理或项目营销经理到项目准备-参数设置-项目级-财务管理-滞纳金比率设置中，按照最早的签约日期设置滞纳金比例。
房款管理中，房款或代收费用或其它款项不能退款、转账,"问题说明：房款管理中的房款、代收费用和其它款项不能直接操作退款、转账。
解决方案：
1）非贷款类房款：a.交易关闭；b.交易激活且非贷款类房款应收出现了多收；
2）贷款类房款（可退不可转）：a.交易关闭；b.交易激活且贷款类房款应收出现了多收；c.交易激活且没有贷款类应收款项； 3）代收费用：a.没有对应的应收款项；b.对应的应收款项为已划出状态且出现了多收；
4）其它类：a.不存在对应的应收款项；。"
是否支持跨项目转账,暂不支持跨项目转账。
款项已完成了部分退款，需要退剩下的部分,一笔退款只巡检一次，退过部分的需要换票后会重新巡检退款明细 暂收款换票：联系共享平台财务在CRM--财务管理--收支管理--暂收款管理--收款管理--实收款项--选中--换票 房款换票：联系销管在CRM--财务管理--收支管理--房款管理--房款详情--实收款项--选中--换票
开启系统自动发起退款及先付后审功能,请您联系财务平台处理。
已认购修改定金金额,需要撤销认购，然后在房间维护里改一下定金标准；【项目准备】&rarr;【房间维护】&rarr;【房间其它信息维护】&rarr;生成模板&rarr;导入模板，里面修改定金
导出代收费用账单操作步骤,"image {https://prod-ai-talk.oss-cn-beijing.aliyuncs.com/know/prod/2022/07/05/16570084213409545.png?Expires=4810608421&OSSAccessKeyId=LTAI4FoeSXRLXKE7RJkj4q9Z&Signature=78cJPHPeBZvdy8IIg4981jFSxyo%3D}
text {报表管理-售后管理-您可以在【报表管理】-【售后管理】-【项目税费代收代付明细表】}"
房款里的滞纳金如何退款,您可在【财务管理】-【收支管理】-【滞纳金减免】-【新增】-减免类型选择已收释放-选择合同-发起审批，审批通过后无需报事调整，直接去申请退款或联系财务结转进房款即可。
关闭房间里的钱如何结转到新房间里,联系财务经理或者共享平台的财务老师，在【收支管理】-【房款管理】-【关闭的交易】-【详情】-【实收款项】-【转账】，结转到新房间。
账单未推送到共享平台,联系销管在：交易管理交易台账详情更多操作生成付款详情 会给共享重新推送账单。
客户滞纳金查询途径,滞纳金查询路径：【财务管理】-【收支管理】-【房款管理】-【房款详情】-左上角【滞纳金详情】
如何换票,&nbsp;1、暂收款换票：联系平台财务在CRM--财务管理--收支管理--暂收款管理--收款管理--实收款项--选中--换票&nbsp;2、房款换票：联系销管在CRM--财务管理--收支管理--房款管理--房款详情--实收款项--选中--换票&nbsp;3、诚意金换票：联系平台财务在CRM--财务管理--收支管理--诚意金管理--关闭的预约单--收款管理--实收款项--选中--换票&nbsp;
提交减免流程无法修改减免金额,全部减免不需要填本次减免金额，默认全部减免，部分减免的时候才需要填写减免金额。
客户原付款方式为按揭付款，现追加为一次性，执行之后房间产生了滞纳金,原按揭款项逾期就会产生滞纳金。
滞纳金减免流程已完成，系统仍显示有滞纳金,您好，收款时才会使用滞纳金减免额度。
系统没有强制先收取滞纳金，款项先进入了房款,收款机在监管模式下会先收取房款。
滞纳金减免有效期为15天，是从申请日开始算加15天，还是从申请日期后加15天,归档日期+15天
滞纳金减免无法抓取到房间,1、当合同全部款项为B类签约付款时需要将&ldquo;是否B类签约&rdquo;选择为&ldquo;是&rdquo;，才能搜索到对应的房间。&nbsp;2、其中是否B类签约如选择是，则只可以选择B类签约且全部为B类签约款支付的合同，如合同已更名为小业主支付或者存在B类和现金混合支付时请选择否。&nbsp;&nbsp;
客户更名后，收据显示之前客户名称,需要您联系财务换票，或在收款机换票，换票后会显示新客户姓名。
生成凭证时提示;分录未定义或者规则不存在,重新设置财务凭证规则。
发票单据未自动生成凭证,开票日期小于当前日期减3天则无法自动生成。
